sale_id,date,month,month_name,day_of_week,is_weekend,is_festival_month,festival_name,temperature_celsius,locality,store_type,brand,chocolate_type,unit_price_inr,discount_percent,price_after_discount,quantity_sold,total_revenue_inr,customer_segment,purchase_occasion,payment_mode,customer_satisfaction
SAL00317,2024-07-24,7,July,Wednesday,0,0,None,30.6,Bellary Fort Area,Bakery,Bournville,Dark,180,0,180.0,1,180.0,Business Owner,Birthday,Cash,5
SAL00318,2024-03-22,3,March,Friday,0,0,None,31.4,Shivaji Nagar,Sweet Shop,Amul Dark,Dark,99,10,89.1,5,445.5,Working Professional,Self Reward,Cash,5
SAL00319,2024-03-07,3,March,Thursday,0,0,None,32.9,Bellary Fort Area,Kirana Store,Bournville,Dark,100,0,100.0,4,400.0,Student,Regular Purchase,Cash,5
SAL00320,2024-10-22,10,October,Tuesday,0,1,Dasara,29.9,Kudligi Road,Petrol Bunk Shop,Milkybar,White,40,15,34.0,9,306.0,Tourist,Office Treat,UPI,4
SAL00321,2024-12-05,12,December,Thursday,0,1,Christmas,25.7,Ballari Camp,Supermarket,Éclairs,Toffee,10,20,8.0,12,96.0,Student,Regular Purchase,UPI,5
SAL00322,2024-02-08,2,February,Thursday,0,0,None,30.0,Navalagund Circle,Supermarket,Milkybar,White,20,5,19.0,4,76.0,Student,Self Reward,UPI,2
SAL00323,2024-08-15,8,August,Thursday,0,1,Friendship Day,31.2,Bellary Fort Area,Kirana Store,Temptation,Milk,120,0,120.0,10,1200.0,Homemaker,Regular Purchase,UPI,4
SAL00324,2024-10-12,10,October,Saturday,1,1,Dasara,29.2,Cantonment,Medical + General,Amul Dark,Dark,99,0,99.0,14,1386.0,Tourist,Self Reward,Card,5
SAL00325,2024-04-24,4,April,Wednesday,0,1,Ugadi,38.4,Navalagund Circle,Medical + General,Amul Dark,Dark,99,20,79.2,3,237.6,Homemaker,Office Treat,UPI,1
SAL00326,2024-06-30,6,June,Sunday,1,0,None,36.3,Hospet Road,Medical + General,Éclairs,Toffee,5,20,4.0,4,16.0,Student,Regular Purchase,UPI,2
SAL00327,2024-11-08,11,November,Friday,0,1,Diwali,25.8,Cantonment,Sweet Shop,Munch,Wafer,10,0,10.0,7,70.0,Working Professional,Office Treat,Cash,2
SAL00328,2024-08-18,8,August,Sunday,1,1,Friendship Day,29.8,Shivaji Nagar,Medical + General,5 Star,Caramel,20,10,18.0,11,198.0,Student,Self Reward,UPI,4
SAL00329,2024-03-29,3,March,Friday,0,0,None,33.9,Santhepet,Kirana Store,Bournville,Dark,180,5,171.0,5,855.0,Tourist,Self Reward,Cash,5
SAL00330,2024-05-07,5,May,Tuesday,0,0,None,39.1,Navalagund Circle,Bakery,Temptation,Milk,80,20,64.0,4,256.0,Working Professional,Birthday,Cash,5
SAL00331,2024-12-30,12,December,Monday,0,1,Christmas,25.9,Jaganatha Pura,Petrol Bunk Shop,Munch,Wafer,5,15,4.25,11,46.75,Working Professional,Self Reward,UPI,5
SAL00332,2024-11-28,11,November,Thursday,0,1,Diwali,28.9,Santhepet,Medical + General,Éclairs,Toffee,10,10,9.0,10,90.0,Homemaker,Office Treat,UPI,4
SAL00333,2024-12-07,12,December,Saturday,1,1,Christmas,25.8,Kuvempu Nagar,Petrol Bunk Shop,Éclairs,Toffee,5,0,5.0,10,50.0,Business Owner,Regular Purchase,Cash,4
SAL00334,2024-04-12,4,April,Friday,0,1,Ugadi,36.1,Santhepet,Bakery,Perk,Wafer,5,0,5.0,5,25.0,Student,Office Treat,UPI,2
SAL00335,2024-12-11,12,December,Wednesday,0,1,Christmas,26.0,Kudligi Road,Petrol Bunk Shop,Éclairs,Toffee,5,5,4.75,9,42.75,Working Professional,Self Reward,UPI,4
SAL00336,2024-12-16,12,December,Monday,0,1,Christmas,24.3,Jaganatha Pura,Kirana Store,Dairy Milk,Milk,40,15,34.0,12,408.0,Working Professional,Self Reward,Card,5
SAL00337,2024-10-06,10,October,Sunday,1,1,Dasara,30.0,Kudligi Road,Petrol Bunk Shop,Munch,Wafer,10,0,10.0,11,110.0,Business Owner,Gifting,UPI,3
SAL00338,2024-05-15,5,May,Wednesday,0,0,None,38.5,Shivaji Nagar,Bakery,Dairy Milk,Milk,40,0,40.0,1,40.0,Business Owner,Office Treat,Card,4
SAL00339,2024-11-16,11,November,Saturday,1,1,Diwali,27.5,Kuvempu Nagar,Bakery,Temptation,Milk,120,10,108.0,10,1080.0,Student,Office Treat,Cash,5
SAL00340,2024-03-22,3,March,Friday,0,0,None,32.7,Jaganatha Pura,Sweet Shop,KitKat,Wafer,20,0,20.0,12,240.0,Working Professional,Gifting,UPI,5
SAL00341,2024-11-12,11,November,Tuesday,0,1,Diwali,27.1,Jaganatha Pura,Petrol Bunk Shop,Dairy Milk,Milk,10,0,10.0,9,90.0,Homemaker,Birthday,Card,4
SAL00342,2024-02-28,2,February,Wednesday,0,0,None,28.5,Jaganatha Pura,Petrol Bunk Shop,Perk,Wafer,5,5,4.75,7,33.25,Tourist,Festival,Cash,3
SAL00343,2024-11-29,11,November,Friday,0,1,Diwali,25.8,Jaganatha Pura,Kirana Store,KitKat,Wafer,10,0,10.0,7,70.0,Tourist,Self Reward,UPI,5
SAL00344,2024-08-05,8,August,Monday,0,1,Friendship Day,31.3,Kudligi Road,Medical + General,Bournville,Dark,180,15,153.0,6,918.0,Student,Office Treat,Card,1
SAL00345,2024-02-07,2,February,Wednesday,0,0,None,27.2,Hospet Road,Medical + General,KitKat,Wafer,50,5,47.5,6,285.0,Working Professional,Festival,UPI,4
SAL00346,2024-01-09,1,January,Tuesday,0,1,Sankranti,25.6,Cantonment,Medical + General,Dairy Milk,Milk,10,0,10.0,4,40.0,Tourist,Regular Purchase,Card,4
SAL00347,2024-05-24,5,May,Friday,0,0,None,41.1,Bellary Fort Area,Sweet Shop,Bournville,Dark,180,0,180.0,1,180.0,Student,Birthday,UPI,5
SAL00348,2024-10-06,10,October,Sunday,1,1,Dasara,28.2,Kuvempu Nagar,Supermarket,Perk,Wafer,20,0,20.0,16,320.0,Homemaker,Regular Purchase,Cash,1
SAL00349,2024-11-01,11,November,Friday,0,1,Diwali,26.6,Jaganatha Pura,Kirana Store,Perk,Wafer,5,0,5.0,16,80.0,Homemaker,Gifting,UPI,4
SAL00350,2024-05-09,5,May,Thursday,0,0,None,38.8,Santhepet,Petrol Bunk Shop,Amul Dark,Dark,55,0,55.0,2,110.0,Tourist,Birthday,Cash,3
SAL00351,2024-04-11,4,April,Thursday,0,1,Ugadi,37.9,Bellary Fort Area,Bakery,Milkybar,White,10,0,10.0,6,60.0,Working Professional,Regular Purchase,Card,4
SAL00352,2024-06-17,6,June,Monday,0,0,None,35.5,Hospet Road,Petrol Bunk Shop,Amul Dark,Dark,55,5,52.25,4,209.0,Tourist,Self Reward,UPI,1
SAL00353,2024-05-06,5,May,Monday,0,0,None,41.1,Vijayanagar Colony,Petrol Bunk Shop,Bournville,Dark,100,5,95.0,13,1235.0,Homemaker,Gifting,Card,5
SAL00354,2024-09-06,9,September,Friday,0,1,Ganesh Chaturthi,30.2,Santhepet,Petrol Bunk Shop,Amul Dark,Dark,55,15,46.75,14,654.5,Homemaker,Gifting,Cash,5
SAL00355,2024-09-16,9,September,Monday,0,1,Ganesh Chaturthi,30.5,Shivaji Nagar,Medical + General,Bournville,Dark,180,15,153.0,11,1683.0,Working Professional,Regular Purchase,UPI,4
SAL00356,2024-04-24,4,April,Wednesday,0,1,Ugadi,38.6,Shivaji Nagar,Petrol Bunk Shop,Perk,Wafer,5,0,5.0,7,35.0,Business Owner,Self Reward,Cash,1
SAL00357,2024-05-02,5,May,Thursday,0,0,None,41.4,Shivaji Nagar,Petrol Bunk Shop,5 Star,Caramel,40,10,36.0,1,36.0,Working Professional,Birthday,Cash,4
SAL00358,2024-03-15,3,March,Friday,0,0,None,33.9,Bellary Fort Area,Bakery,Dairy Milk,Milk,20,0,20.0,9,180.0,Business Owner,Gifting,Cash,4
SAL00359,2024-09-22,9,September,Sunday,1,1,Ganesh Chaturthi,31.6,Navalagund Circle,Sweet Shop,Temptation,Milk,120,20,96.0,9,864.0,Student,Regular Purchase,Card,4
SAL00360,2024-10-18,10,October,Friday,0,1,Dasara,27.7,Kuvempu Nagar,Sweet Shop,Milkybar,White,40,10,36.0,8,288.0,Student,Self Reward,UPI,4
SAL00361,2024-06-25,6,June,Tuesday,0,0,None,34.9,Bellary Fort Area,Medical + General,Dairy Milk,Milk,20,0,20.0,7,140.0,Business Owner,Gifting,UPI,3
SAL00362,2024-07-04,7,July,Thursday,0,0,None,31.4,Cantonment,Petrol Bunk Shop,Munch,Wafer,10,15,8.5,3,25.5,Homemaker,Office Treat,UPI,4
SAL00363,2024-10-29,10,October,Tuesday,0,1,Dasara,27.6,Ballari Camp,Kirana Store,Munch,Wafer,5,15,4.25,8,34.0,Working Professional,Self Reward,Cash,1
SAL00364,2024-10-20,10,October,Sunday,1,1,Dasara,27.6,Santhepet,Bakery,5 Star,Caramel,40,0,40.0,14,560.0,Business Owner,Self Reward,UPI,4
SAL00365,2024-08-29,8,August,Thursday,0,1,Friendship Day,31.5,Santhepet,Supermarket,Bournville,Dark,180,0,180.0,9,1620.0,Working Professional,Self Reward,Card,5
SAL00366,2024-11-01,11,November,Friday,0,1,Diwali,27.4,Kudligi Road,Sweet Shop,Bournville,Dark,50,20,40.0,10,400.0,Student,Regular Purchase,UPI,4
SAL00367,2024-03-31,3,March,Sunday,1,0,None,32.9,Shivaji Nagar,Medical + General,Dairy Milk,Milk,10,20,8.0,6,48.0,Student,Birthday,UPI,4
SAL00368,2024-07-08,7,July,Monday,0,0,None,32.5,Vijayanagar Colony,Medical + General,Bournville,Dark,50,5,47.5,2,95.0,Business Owner,Birthday,UPI,3
SAL00369,2024-04-29,4,April,Monday,0,1,Ugadi,38.6,Cantonment,Bakery,Amul Dark,Dark,99,10,89.1,8,712.8,Homemaker,Gifting,Cash,4
SAL00370,2024-04-15,4,April,Monday,0,1,Ugadi,37.8,Navalagund Circle,Sweet Shop,Milkybar,White,10,20,8.0,8,64.0,Working Professional,Birthday,Cash,4
SAL00371,2024-07-06,7,July,Saturday,1,0,None,31.4,Kuvempu Nagar,Sweet Shop,Munch,Wafer,10,10,9.0,6,54.0,Tourist,Self Reward,Cash,4
SAL00372,2024-06-06,6,June,Thursday,0,0,None,35.3,Vijayanagar Colony,Sweet Shop,5 Star,Caramel,40,20,32.0,4,128.0,Student,Office Treat,UPI,2
SAL00373,2024-09-17,9,September,Tuesday,0,1,Ganesh Chaturthi,29.6,Navalagund Circle,Medical + General,Amul Dark,Dark,55,20,44.0,8,352.0,Working Professional,Birthday,UPI,4
SAL00374,2024-11-03,11,November,Sunday,1,1,Diwali,26.7,Cantonment,Bakery,Munch,Wafer,10,10,9.0,14,126.0,Student,Self Reward,Cash,3
SAL00375,2024-11-01,11,November,Friday,0,1,Diwali,25.2,Santhepet,Petrol Bunk Shop,Temptation,Milk,120,20,96.0,14,1344.0,Student,Gifting,Cash,4
SAL00376,2024-12-23,12,December,Monday,0,1,Christmas,23.9,Santhepet,Petrol Bunk Shop,Dairy Milk,Milk,40,0,40.0,3,120.0,Working Professional,Office Treat,UPI,4
SAL00377,2024-07-21,7,July,Sunday,1,0,None,30.6,Kudligi Road,Medical + General,Dairy Milk,Milk,10,0,10.0,9,90.0,Student,Self Reward,Card,3
SAL00378,2024-04-09,4,April,Tuesday,0,1,Ugadi,36.8,Ballari Camp,Medical + General,Dairy Milk,Milk,40,10,36.0,4,144.0,Working Professional,Birthday,Card,4
SAL00379,2024-02-29,2,February,Thursday,0,0,None,30.2,Hospet Road,Medical + General,Amul Dark,Dark,99,20,79.2,7,554.4,Business Owner,Birthday,UPI,5
SAL00380,2024-08-22,8,August,Thursday,0,1,Friendship Day,30.7,Shivaji Nagar,Kirana Store,Temptation,Milk,80,15,68.0,11,748.0,Homemaker,Regular Purchase,UPI,5
SAL00381,2024-07-30,7,July,Tuesday,0,0,None,32.8,Jaganatha Pura,Medical + General,Dairy Milk,Milk,40,15,34.0,3,102.0,Working Professional,Festival,Card,2
SAL00382,2024-04-01,4,April,Monday,0,1,Ugadi,36.9,Navalagund Circle,Supermarket,Amul Dark,Dark,99,0,99.0,5,495.0,Working Professional,Office Treat,UPI,5
SAL00383,2024-04-15,4,April,Monday,0,1,Ugadi,35.9,Kudligi Road,Medical + General,Milkybar,White,10,10,9.0,12,108.0,Student,Regular Purchase,Cash,5
SAL00384,2024-10-04,10,October,Friday,0,1,Dasara,30.8,Bellary Fort Area,Bakery,Amul Dark,Dark,99,20,79.2,8,633.6,Business Owner,Self Reward,Cash,3
SAL00385,2024-04-23,4,April,Tuesday,0,1,Ugadi,38.0,Santhepet,Kirana Store,Éclairs,Toffee,5,5,4.75,6,28.5,Business Owner,Self Reward,UPI,4
SAL00386,2024-03-02,3,March,Saturday,1,0,None,33.8,Bellary Fort Area,Bakery,Dairy Milk,Milk,10,0,10.0,7,70.0,Working Professional,Birthday,Cash,5
SAL00387,2024-04-05,4,April,Friday,0,1,Ugadi,37.2,Kudligi Road,Bakery,Temptation,Milk,120,15,102.0,15,1530.0,Homemaker,Gifting,Card,4
SAL00388,2024-07-24,7,July,Wednesday,0,0,None,30.1,Santhepet,Medical + General,5 Star,Caramel,40,10,36.0,3,108.0,Working Professional,Regular Purchase,UPI,5
SAL00389,2024-04-10,4,April,Wednesday,0,1,Ugadi,35.6,Vijayanagar Colony,Supermarket,Temptation,Milk,80,20,64.0,8,512.0,Working Professional,Birthday,UPI,3
SAL00390,2024-10-14,10,October,Monday,0,1,Dasara,30.4,Gandhi Nagar,Sweet Shop,KitKat,Wafer,50,5,47.5,11,522.5,Working Professional,Regular Purchase,Cash,4
SAL00391,2024-06-20,6,June,Thursday,0,0,None,34.0,Navalagund Circle,Medical + General,Éclairs,Toffee,5,0,5.0,3,15.0,Homemaker,Regular Purchase,Cash,3
SAL00392,2024-10-21,10,October,Monday,0,1,Dasara,29.6,Jaganatha Pura,Supermarket,Perk,Wafer,10,0,10.0,12,120.0,Homemaker,Office Treat,UPI,4
SAL00393,2024-08-25,8,August,Sunday,1,1,Friendship Day,30.5,Santhepet,Supermarket,Milkybar,White,20,0,20.0,12,240.0,Tourist,Self Reward,Card,3
SAL00394,2024-06-11,6,June,Tuesday,0,0,None,35.6,Vijayanagar Colony,Bakery,Amul Dark,Dark,99,5,94.05,5,470.25,Homemaker,Birthday,UPI,3
SAL00395,2024-01-12,1,January,Friday,0,1,Sankranti,24.5,Kudligi Road,Petrol Bunk Shop,Perk,Wafer,20,0,20.0,10,200.0,Student,Gifting,UPI,4
SAL00396,2024-01-14,1,January,Sunday,1,1,Sankranti,27.1,Jaganatha Pura,Kirana Store,KitKat,Wafer,20,0,20.0,17,340.0,Tourist,Gifting,Card,4
SAL00397,2024-03-05,3,March,Tuesday,0,0,None,31.5,Santhepet,Kirana Store,Dairy Milk,Milk,40,10,36.0,5,180.0,Homemaker,Birthday,UPI,3
SAL00398,2024-12-23,12,December,Monday,0,1,Christmas,25.2,Shivaji Nagar,Medical + General,Temptation,Milk,120,5,114.0,10,1140.0,Tourist,Office Treat,Cash,3
SAL00399,2024-02-15,2,February,Thursday,0,0,None,28.8,Navalagund Circle,Sweet Shop,Perk,Wafer,5,0,5.0,1,5.0,Homemaker,Regular Purchase,Card,4
SAL00400,2024-01-05,1,January,Friday,0,1,Sankranti,26.8,Bellary Fort Area,Sweet Shop,Perk,Wafer,5,10,4.5,7,31.5,Business Owner,Festival,Card,3
SAL00401,2024-10-14,10,October,Monday,0,1,Dasara,28.7,Kudligi Road,Supermarket,Bournville,Dark,100,10,90.0,6,540.0,Working Professional,Festival,Cash,5
SAL00402,2024-12-16,12,December,Monday,0,1,Christmas,24.1,Kuvempu Nagar,Petrol Bunk Shop,Éclairs,Toffee,5,0,5.0,10,50.0,Business Owner,Gifting,UPI,4
SAL00403,2024-05-19,5,May,Sunday,1,0,None,40.8,Bellary Fort Area,Supermarket,Milkybar,White,10,0,10.0,4,40.0,Working Professional,Regular Purchase,Card,3
SAL00404,2024-08-12,8,August,Monday,0,1,Friendship Day,30.9,Kudligi Road,Kirana Store,5 Star,Caramel,10,0,10.0,17,170.0,Business Owner,Gifting,UPI,4
SAL00405,2024-01-17,1,January,Wednesday,0,1,Sankranti,25.3,Santhepet,Kirana Store,Perk,Wafer,10,20,8.0,9,72.0,Student,Self Reward,Card,5
SAL00406,2024-01-07,1,January,Sunday,1,1,Sankranti,24.5,Vijayanagar Colony,Supermarket,Bournville,Dark,100,10,90.0,5,450.0,Working Professional,Office Treat,UPI,4
SAL00407,2024-12-14,12,December,Saturday,1,1,Christmas,26.8,Navalagund Circle,Supermarket,Dairy Milk,Milk,10,20,8.0,7,56.0,Homemaker,Birthday,UPI,5
SAL00408,2024-04-30,4,April,Tuesday,0,1,Ugadi,37.5,Navalagund Circle,Kirana Store,5 Star,Caramel,20,0,20.0,10,200.0,Tourist,Regular Purchase,Cash,4
SAL00409,2024-12-19,12,December,Thursday,0,1,Christmas,24.9,Shivaji Nagar,Supermarket,Milkybar,White,10,0,10.0,13,130.0,Working Professional,Gifting,Card,4
SAL00410,2024-12-25,12,December,Wednesday,0,1,Christmas,25.1,Cantonment,Supermarket,Temptation,Milk,80,15,68.0,13,884.0,Homemaker,Self Reward,UPI,1
SAL00411,2024-07-12,7,July,Friday,0,0,None,30.4,Santhepet,Bakery,Dairy Milk,Milk,80,0,80.0,5,400.0,Business Owner,Self Reward,Cash,3
SAL00412,2024-06-27,6,June,Thursday,0,0,None,34.3,Bellary Fort Area,Bakery,Amul Dark,Dark,55,0,55.0,4,220.0,Student,Self Reward,Card,4
SAL00413,2024-08-20,8,August,Tuesday,0,1,Friendship Day,28.0,Kuvempu Nagar,Medical + General,Bournville,Dark,180,20,144.0,14,2016.0,Working Professional,Regular Purchase,Cash,3
SAL00414,2024-02-02,2,February,Friday,0,0,None,29.6,Jaganatha Pura,Sweet Shop,Munch,Wafer,20,0,20.0,3,60.0,Business Owner,Self Reward,UPI,4
SAL00415,2024-02-26,2,February,Monday,0,0,None,27.4,Kuvempu Nagar,Kirana Store,Dairy Milk,Milk,20,5,19.0,1,19.0,Working Professional,Regular Purchase,UPI,2
SAL00416,2024-10-19,10,October,Saturday,1,1,Dasara,29.6,Ballari Camp,Petrol Bunk Shop,Temptation,Milk,120,0,120.0,10,1200.0,Student,Festival,UPI,4
SAL00417,2024-02-10,2,February,Saturday,1,0,None,28.9,Kuvempu Nagar,Kirana Store,Milkybar,White,40,10,36.0,5,180.0,Business Owner,Festival,Cash,5
SAL00418,2024-06-04,6,June,Tuesday,0,0,None,33.3,Kudligi Road,Medical + General,KitKat,Wafer,10,0,10.0,4,40.0,Working Professional,Self Reward,Cash,4
SAL00419,2024-10-18,10,October,Friday,0,1,Dasara,29.5,Santhepet,Medical + General,Éclairs,Toffee,5,15,4.25,13,55.25,Student,Office Treat,UPI,5
SAL00420,2024-03-26,3,March,Tuesday,0,0,None,34.2,Jaganatha Pura,Sweet Shop,Éclairs,Toffee,5,0,5.0,7,35.0,Working Professional,Self Reward,Card,4
SAL00421,2024-06-15,6,June,Saturday,1,0,None,36.4,Ballari Camp,Petrol Bunk Shop,Bournville,Dark,180,5,171.0,3,513.0,Homemaker,Self Reward,Cash,5
SAL00422,2024-05-10,5,May,Friday,0,0,None,39.4,Bellary Fort Area,Sweet Shop,Bournville,Dark,50,10,45.0,2,90.0,Student,Festival,UPI,5
SAL00423,2024-06-03,6,June,Monday,0,0,None,33.0,Kudligi Road,Supermarket,Milkybar,White,10,0,10.0,5,50.0,Homemaker,Self Reward,Cash,4
SAL00424,2024-03-20,3,March,Wednesday,0,0,None,31.6,Navalagund Circle,Medical + General,Munch,Wafer,5,10,4.5,3,13.5,Homemaker,Festival,UPI,5
SAL00425,2024-06-15,6,June,Saturday,1,0,None,36.2,Santhepet,Sweet Shop,Amul Dark,Dark,55,0,55.0,4,220.0,Tourist,Office Treat,Cash,5
SAL00426,2024-06-20,6,June,Thursday,0,0,None,34.4,Ballari Camp,Sweet Shop,KitKat,Wafer,10,0,10.0,3,30.0,Tourist,Regular Purchase,Cash,1
SAL00427,2024-10-03,10,October,Thursday,0,1,Dasara,29.3,Navalagund Circle,Medical + General,Munch,Wafer,5,0,5.0,10,50.0,Student,Office Treat,UPI,3
SAL00428,2024-07-20,7,July,Saturday,1,0,None,29.6,Navalagund Circle,Kirana Store,Temptation,Milk,80,10,72.0,6,432.0,Tourist,Birthday,UPI,5
SAL00429,2024-03-07,3,March,Thursday,0,0,None,34.0,Bellary Fort Area,Medical + General,Munch,Wafer,10,10,9.0,5,45.0,Business Owner,Office Treat,Cash,5
SAL00430,2024-09-25,9,September,Wednesday,0,1,Ganesh Chaturthi,29.0,Cantonment,Bakery,Bournville,Dark,100,5,95.0,10,950.0,Tourist,Regular Purchase,Card,4
SAL00431,2024-06-13,6,June,Thursday,0,0,None,34.4,Kuvempu Nagar,Kirana Store,Perk,Wafer,5,5,4.75,4,19.0,Homemaker,Self Reward,Cash,5
SAL00432,2024-04-29,4,April,Monday,0,1,Ugadi,35.8,Navalagund Circle,Supermarket,KitKat,Wafer,10,0,10.0,16,160.0,Student,Gifting,Cash,3
SAL00433,2024-08-29,8,August,Thursday,0,1,Friendship Day,28.1,Kudligi Road,Petrol Bunk Shop,Éclairs,Toffee,1,10,0.9,14,12.6,Working Professional,Self Reward,UPI,4
SAL00434,2024-03-13,3,March,Wednesday,0,0,None,33.8,Kuvempu Nagar,Kirana Store,Bournville,Dark,180,0,180.0,3,540.0,Tourist,Regular Purchase,Card,3
SAL00435,2024-12-22,12,December,Sunday,1,1,Christmas,25.5,Gandhi Nagar,Sweet Shop,Dairy Milk,Milk,10,20,8.0,14,112.0,Business Owner,Office Treat,Cash,1
SAL00436,2024-11-28,11,November,Thursday,0,1,Diwali,26.5,Ballari Camp,Medical + General,KitKat,Wafer,20,0,20.0,7,140.0,Business Owner,Self Reward,Cash,5
SAL00437,2024-10-14,10,October,Monday,0,1,Dasara,30.7,Gandhi Nagar,Kirana Store,Munch,Wafer,20,0,20.0,9,180.0,Homemaker,Festival,Card,4
SAL00438,2024-06-30,6,June,Sunday,1,0,None,35.5,Kudligi Road,Medical + General,Perk,Wafer,5,0,5.0,5,25.0,Homemaker,Birthday,UPI,4
SAL00439,2024-07-20,7,July,Saturday,1,0,None,31.6,Cantonment,Petrol Bunk Shop,Bournville,Dark,180,10,162.0,4,648.0,Tourist,Office Treat,UPI,4
SAL00440,2024-06-08,6,June,Saturday,1,0,None,36.6,Navalagund Circle,Sweet Shop,Éclairs,Toffee,1,20,0.8,3,2.4,Working Professional,Office Treat,UPI,3
SAL00441,2024-12-27,12,December,Friday,0,1,Christmas,26.6,Santhepet,Sweet Shop,5 Star,Caramel,40,0,40.0,9,360.0,Tourist,Gifting,UPI,4
SAL00442,2024-06-12,6,June,Wednesday,0,0,None,36.5,Ballari Camp,Sweet Shop,Perk,Wafer,10,0,10.0,5,50.0,Homemaker,Gifting,Cash,5
SAL00443,2024-11-09,11,November,Saturday,1,1,Diwali,27.5,Shivaji Nagar,Medical + General,Amul Dark,Dark,55,15,46.75,17,794.75,Tourist,Gifting,UPI,3
SAL00444,2024-11-05,11,November,Tuesday,0,1,Diwali,26.9,Kuvempu Nagar,Bakery,5 Star,Caramel,20,0,20.0,5,100.0,Business Owner,Birthday,Cash,4
SAL00445,2024-01-08,1,January,Monday,0,1,Sankranti,27.7,Ballari Camp,Supermarket,Munch,Wafer,5,20,4.0,25,100.0,Student,Gifting,UPI,5
SAL00446,2024-08-06,8,August,Tuesday,0,1,Friendship Day,29.6,Gandhi Nagar,Medical + General,Bournville,Dark,180,10,162.0,11,1782.0,Homemaker,Birthday,Cash,4
SAL00447,2024-01-22,1,January,Monday,0,1,Sankranti,27.5,Kudligi Road,Medical + General,Éclairs,Toffee,5,0,5.0,11,55.0,Student,Self Reward,Card,4
SAL00448,2024-06-04,6,June,Tuesday,0,0,None,36.1,Hospet Road,Sweet Shop,5 Star,Caramel,20,5,19.0,1,19.0,Homemaker,Self Reward,UPI,2
SAL00449,2024-09-13,9,September,Friday,0,1,Ganesh Chaturthi,28.5,Shivaji Nagar,Petrol Bunk Shop,Éclairs,Toffee,1,0,1.0,7,7.0,Business Owner,Birthday,UPI,4
SAL00450,2024-12-30,12,December,Monday,0,1,Christmas,26.6,Bellary Fort Area,Kirana Store,Perk,Wafer,10,15,8.5,2,17.0,Working Professional,Office Treat,UPI,4
SAL00451,2024-02-13,2,February,Tuesday,0,0,None,29.1,Ballari Camp,Petrol Bunk Shop,Éclairs,Toffee,10,0,10.0,7,70.0,Working Professional,Birthday,UPI,5
SAL00452,2024-10-16,10,October,Wednesday,0,1,Dasara,30.5,Santhepet,Supermarket,5 Star,Caramel,10,0,10.0,11,110.0,Student,Birthday,UPI,2
SAL00453,2024-03-08,3,March,Friday,0,0,None,34.8,Gandhi Nagar,Medical + General,Perk,Wafer,5,10,4.5,3,13.5,Business Owner,Birthday,UPI,3
SAL00454,2024-10-28,10,October,Monday,0,1,Dasara,29.6,Bellary Fort Area,Sweet Shop,Temptation,Milk,80,10,72.0,5,360.0,Tourist,Self Reward,Cash,5
SAL00455,2024-04-16,4,April,Tuesday,0,1,Ugadi,35.2,Santhepet,Kirana Store,Milkybar,White,10,0,10.0,14,140.0,Working Professional,Regular Purchase,Cash,1
SAL00456,2024-08-01,8,August,Thursday,0,1,Friendship Day,32.0,Santhepet,Petrol Bunk Shop,Perk,Wafer,20,15,17.0,10,170.0,Tourist,Self Reward,Cash,4
SAL00457,2024-01-19,1,January,Friday,0,1,Sankranti,24.4,Hospet Road,Bakery,Milkybar,White,20,5,19.0,8,152.0,Student,Birthday,UPI,2
SAL00458,2024-05-20,5,May,Monday,0,0,None,39.3,Ballari Camp,Medical + General,Munch,Wafer,20,10,18.0,1,18.0,Working Professional,Self Reward,Cash,5
SAL00459,2024-09-04,9,September,Wednesday,0,1,Ganesh Chaturthi,30.9,Shivaji Nagar,Petrol Bunk Shop,Perk,Wafer,10,0,10.0,10,100.0,Tourist,Festival,Cash,4
SAL00460,2024-09-23,9,September,Monday,0,1,Ganesh Chaturthi,30.9,Bellary Fort Area,Sweet Shop,5 Star,Caramel,40,0,40.0,5,200.0,Working Professional,Office Treat,Cash,4
SAL00461,2024-03-01,3,March,Friday,0,0,None,33.9,Kudligi Road,Medical + General,Bournville,Dark,100,0,100.0,3,300.0,Student,Festival,UPI,4
SAL00462,2024-05-10,5,May,Friday,0,0,None,41.2,Hospet Road,Bakery,Éclairs,Toffee,10,0,10.0,2,20.0,Homemaker,Regular Purchase,UPI,4
SAL00463,2024-11-11,11,November,Monday,0,1,Diwali,28.8,Santhepet,Supermarket,Milkybar,White,20,5,19.0,8,152.0,Business Owner,Birthday,UPI,4
SAL00464,2024-10-01,10,October,Tuesday,0,1,Dasara,30.6,Bellary Fort Area,Sweet Shop,Dairy Milk,Milk,40,0,40.0,8,320.0,Tourist,Office Treat,Cash,4
SAL00465,2024-06-30,6,June,Sunday,1,0,None,33.3,Santhepet,Bakery,Dairy Milk,Milk,40,0,40.0,8,320.0,Business Owner,Office Treat,Cash,2
SAL00466,2024-06-06,6,June,Thursday,0,0,None,35.8,Navalagund Circle,Petrol Bunk Shop,Dairy Milk,Milk,40,0,40.0,4,160.0,Business Owner,Regular Purchase,UPI,5
SAL00467,2024-06-03,6,June,Monday,0,0,None,33.9,Hospet Road,Supermarket,KitKat,Wafer,20,20,16.0,10,160.0,Student,Gifting,UPI,5
SAL00468,2024-03-19,3,March,Tuesday,0,0,None,31.8,Bellary Fort Area,Petrol Bunk Shop,Éclairs,Toffee,5,15,4.25,6,25.5,Homemaker,Gifting,Cash,4
